county,county_fips,state_id,state_name,lat,lng,population
Lane,20101,KS,Kansas,38.4813,-100.4664,1523
Throckmorton,48447,TX,Texas,33.1775,-99.2124,1500
Kiowa,8061,CO,Colorado,38.4327,-102.7403,1463
Campbell,46021,SD,South Dakota,45.7712,-100.0516,1458
Glasscock,48173,TX,Texas,31.8694,-101.5208,1447
Hyde,46069,SD,South Dakota,44.5473,-99.4871,1446
Rock,31149,NE,Nebraska,42.4213,-99.4499,1430
Wheeler,41069,OR,Oregon,44.7261,-120.0276,1417
Stonewall,48433,TX,Texas,33.1791,-100.2533,1412
Motley,48345,TX,Texas,34.0741,-100.7798,1362
Briscoe,48045,TX,Texas,34.5303,-101.2086,1348
Jackson,8057,CO,Colorado,40.6664,-106.3428,1316
Carter,30011,MT,Montana,45.5168,-104.5362,1305
Skagway,2230,AK,Alaska,59.563,-135.3363,1300
Sioux,31165,NE,Nebraska,42.4877,-103.7589,1298
Sheridan,38083,ND,North Dakota,47.5755,-100.3456,1289
Sully,46119,SD,South Dakota,44.7156,-100.1322,1278
Sterling,48431,TX,Texas,31.8279,-101.05,1274
Issaquena,28055,MS,Mississippi,32.7414,-90.9892,1223
Foard,48155,TX,Texas,33.9746,-99.778,1207
Harding,46063,SD,South Dakota,45.5803,-103.4958,1178
Prairie,30079,MT,Montana,46.8605,-105.378,1162
Alpine,6003,CA,California,38.5972,-119.8207,1159
Greeley,20071,KS,Kansas,38.4805,-101.806,1156
Lake and Peninsula,2164,AK,Alaska,58.6547,-156.1892,1156
Camas,16025,ID,Idaho,43.4633,-114.8058,1069
Garfield,30033,MT,Montana,47.2776,-106.9929,1051
Wibaux,30109,MT,Montana,46.9653,-104.249,1037
Esmeralda,32009,NV,Nevada,37.7847,-117.6323,1030
Terrell,48443,TX,Texas,30.225,-102.0765,903
Logan,31113,NE,Nebraska,41.5666,-100.4827,896
Hayes,31085,NE,Nebraska,40.5248,-101.0619,889
Billings,38007,ND,North Dakota,47.0236,-103.3763,886
Clark,16033,ID,Idaho,44.2839,-112.3512,885
Keya Paha,31103,NE,Nebraska,42.8789,-99.7124,875
